date,action,price,leverage,stop,entry,pnl,exit
2025-10-14,ENTER,332.46551513671875,3.0,326.14867034912106,,,
2025-10-22,STOP,,,339.5662283935547,332.46551513671875,421100.6989833989,
2025-10-22,ENTER,337.5496826171875,3.0,331.1362386474609,,,
2025-10-31,STOP,,,360.484718170166,337.5496826171875,1425481.264724272,
2025-10-31,ENTER,361.8939208984375,3.0,355.0179364013672,,,
2025-11-04,STOP,,,358.0300626525879,361.8939208984375,-269654.80311959767,
2025-11-04,ENTER,351.665771484375,3.0,344.9841218261719,,,
2025-11-06,STOP,,,351.5755448913574,351.665771484375,-6272.372293395838,
2025-11-06,ENTER,350.0009460449219,3.0,343.35092807006833,,,
2025-11-07,STOP,,,343.35092807006833,350.0009460449219,-464138.00455490284,
2025-11-07,ENTER,347.0401611328125,3.0,340.4463980712891,,,
2025-11-11,STOP,,,350.8811987915039,347.0401611328125,254960.39770861718,
2025-11-11,ENTER,349.9610595703125,3.0,343.31179943847656,,,
2025-11-13,STOP,,,347.69303860473633,349.9610595703125,-154248.10586883532,
2025-11-13,ENTER,343.7503967285156,3.0,337.21913919067384,,,
2025-11-14,STOP,,,337.21913919067384,343.7503967285156,-443426.6680166921,
2025-11-14,ENTER,343.909912109375,3.0,337.37562377929686,,,
2025-11-17,STOP,,,337.37562377929686,343.909912109375,-418148.7131066905,
2025-11-17,ENTER,339.244384765625,3.0,332.79874145507813,,,
2025-11-18,STOP,,,332.79874145507813,339.244384765625,-394312.2295227048,
2025-11-18,ENTER,332.25616455078125,3.0,325.9432974243164,,,
2025-11-20,STOP,,,331.9577303466797,332.25616455078125,-17578.371489990557,
2025-11-20,ENTER,324.091552734375,3.0,317.93381323242187,,,
2025-11-21,STOP,,,317.93381323242187,324.091552734375,-370837.5460261234,
2025-11-21,ENTER,325.1183776855469,3.0,318.9411285095215,,,
2025-11-25,STOP,,,331.6447611694336,325.1183776855469,369465.095406311,
2025-11-25,ENTER,338.955322265625,3.0,332.51517114257814,,,
2025-12-11,STOP,,,365.85372326660155,338.955322265625,1548540.94562622,
2025-12-11,ENTER,369.7395324707031,3.0,362.71448135375977,,,
2025-12-12,STOP,,,362.71448135375977,369.7395324707031,-459023.86503219604,
2025-12-12,ENTER,353.02154541015625,3.0,346.31413604736326,,,
2025-12-17,STOP,,,346.31413604736326,353.02154541015625,-432862.6632278454,
2025-12-17,ENTER,338.18768310546875,3.0,331.76211712646483,,,
2026-01-08,STOP,,,380.2552152099609,338.18768310546875,2672339.9769378644,
2026-01-08,ENTER,378.9800109863281,3.0,371.7793907775879,,,
2026-01-14,STOP,,,384.0909288024902,378.9800109863281,397844.0646456902,
